key,y_true,horizon_step,metric,hybrid_p50,prod_p10,prod_p90,analog_p50,timesfm_p50,chronos_p50,ctx_mean,ctx_std,ctx_slope,markets,trademark,brand
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,215433.246,1,dollars,66441.05,65921.43,184189.83,32054.15173637212,8560.2822265625,42847.9921875,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,315262.236,2,dollars,137128.61,137128.61,315210.25,27150.95408371807,5436.5908203125,44671.56640625,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,296149.2738,3,dollars,133525.92,133525.92,297288.1,23600.913155155802,4259.474609375,44616.69140625,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,266303.174,4,dollars,159044.98,159044.98,266364.84,23317.446707684998,3340.8740234375,44593.9609375,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,244823.4426,5,dollars,153771.2,153771.2,259984.67,22140.691140129802,3229.81640625,45928.9140625,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,235989.2809,6,dollars,145738.19,145738.19,236307.22,18397.09877513973,3501.10693359375,48814.53125,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,210871.2207,7,dollars,136837.86,136837.86,220533.28,15991.269998183709,3604.9677734375,46360.93359375,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,188042.6849,8,dollars,150263.94,150263.94,229247.86,16509.263256007715,3411.7236328125,43109.03515625,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,170926.1606,9,dollars,153723.12,153723.12,229450.47,12709.642693836367,2622.51220703125,39445.28125,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,159209.7373,10,dollars,142412.88,142412.88,201760.25,11160.584126485519,2772.19677734375,36771.60546875,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,152947.7322,11,dollars,141260.48,141260.48,224256.34,12066.124629473605,2420.97900390625,33276.25390625,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,132409.3681,12,dollars,117783.43,117783.43,143066.67,11329.850865442935,2488.97119140625,28600.263671875,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,114071.4954,13,dollars,82173.33,80182.2,113894.98,10471.071152101114,2289.7509765625,23319.25390625,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,103578.3381,14,dollars,86096.35,85578.52,112922.7,9374.074326379607,2701.3447265625,18426.3984375,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,96400.9135,15,dollars,90821.28,90585.28,123982.06,8399.927621369085,2438.751953125,16146.7265625,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,81846.6853,16,dollars,89398.37,81999.88,106834.78,6917.048430922776,2137.3759765625,12596.662109375,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,77897.5154,17,dollars,75113.48,74431.9,92047.36,7147.457293235826,1793.50830078125,7589.51416015625,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,67358.5718,18,dollars,70959.73,67442.67,87841.586,7093.412959916463,1402.34423828125,6015.0634765625,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,68656.8385,19,dollars,69830.29,66487.26,91771.086,8680.692373265721,1966.412109375,5278.6630859375,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,77128.7268,20,dollars,64688.168,64688.168,86757.766,8040.470755017753,1953.19384765625,4456.6923828125,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,62850.2121,21,dollars,54634.164,52319.605,77861.11,6889.012506654096,2472.7646484375,5375.4482421875,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,55729.1673,22,dollars,53930.594,52078.605,60088.15,6581.3641058714675,2528.35791015625,6764.71484375,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,50921.4768,23,dollars,58933.793,49960.758,81699.22,7009.911015602715,3091.8876953125,12384.8037109375,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,53754.5051,24,dollars,41723.26,39869.223,55086.62,5775.919451789772,3354.4228515625,23407.046875,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,47698.781,25,dollars,50019.5,45090.73,54436.82,5258.872417610805,3464.16650390625,30953.34375,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,45397.6734,26,dollars,52479.31,45319.492,60131.727,3642.0659419387275,3665.00537109375,36869.828125,8148.76155,14086.68755293304,9764.1538,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,15145.3308,1,eq,15517.956,14634.859,18928.035,2406.627169546255,605.635986328125,3028.2763671875,576.0648500000001,995.1470502470238,689.9651399999999,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,24648.2222,2,eq,16615.162,16270.117,24804.307,2243.3246927474347,384.7352600097656,3157.300048828125,576.0648500000001,995.1470502470238,689.9651399999999,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,20903.7544,3,eq,17125.184,17059.287,25718.13,1790.2669687234145,301.428466796875,3153.4765625,576.0648500000001,995.1470502470238,689.9651399999999,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,18485.9672,4,eq,16766.127,16259.517,25687.201,1928.8292331757928,236.52215576171875,3151.82177734375,576.0648500000001,995.1470502470238,689.9651399999999,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,17307.9702,5,eq,16648.61,15760.2,20701.26,1726.0921250202564,228.68228149414062,3246.029541015625,576.0648500000001,995.1470502470238,689.9651399999999,MARKET_001,TM_001,BRAND_001
TM_001||BRAND_001||MARKET_001||MFR_001||CAT_001,17490.3374,6,eq,16111.969,15244.387,20374.998,1506.3156487695444,247.8302001953125,3449.77490234375,576.0648500000001,995.1470502470238,689.9651399999999,MARKET_001,TM_001,BRAND_001
